Area/module,PR/workstream,PR number,GitHub title,Issue addressed,Scope/files,Merge SHA,Deployed SHA,Validation type,Final verdict,Limitation,Evidence path,Follow-up required,Pilot impact
Screening / Provider,#410,410,PR410 screening workflow audit and simplification,PR410 screening workflow audit and simplification,arie-backend/screening_state.py; arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backend/tests/test_backoffice_review_audit.py; arie-backend/tests/test_inline_screening_runtime.py; arie-backend/tests/test_screening_review.py; arie-backend/tests/test_screening_state_priority_a.py; ... +1 more,61799bc53ef5e4234d0dc5f902aac60ff9d6aaf8,,"## Validation - `/opt/homebrew/bin/python3.11 -m pytest tests/test_screening_review.py tests/test_inline_screening_runtime.py -q` -> 18 passed - `/opt/homebrew/bin/python3.11 -m pytest tests/test_api.py -k ""screening_review or screening_queue or screening_escalated or screening_match or no_match or screening_evidence_upload"" -q` -> 13 passed - `/opt/homebrew/bin/python3.11 -m pytest tests/test_approval_gate.py tests/test_backoffice_login_resilience_runtime.py tests/test_case_command_centre_runtime.py tests/test_backoffice_ca_truthflow_static.py tests/test_backoffice_review_audit.py -q` -> 156 passed - `/opt/homebrew/bin/python3.11 -m pytest tests/test_risk_recomputation.py tests/test_memo_staleness_approval.py tests/test_memo_staleness_hard_gate.py -q` -> 53 passed",audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening / Provider,#418,418,Fix inline screening fallback disposition save,Fix inline screening fallback disposition save,arie-backend/tests/test_inline_screening_runtime.py; arie-backoffice.html,a733b10a284b39bc6eef1c78ad997ace5790df51,,## Validation - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_inline_screening_runtime.py -q` - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_screening_review.py arie-backend/tests/test_inline_screening_runtime.py arie-backend/tests/test_screening_state_priority_a.py arie-backend/tests/test_screening_queue.py -q` - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_backoffice_ca_truthflow_static.py arie-backend/tests/test_backoffice_review_audit.py arie-backend/tests/test_approval_gate.py arie-backend/tests/test_case_command_centre_runtime.py arie-backend/tests/test_backoffice_login_resilience_runtime.py -q` - `git diff --check` - `cd arie-backend && /opt/homebrew/bin/python3.11 -m py_compile server.py screening_state.py db.py security_hardening.py`,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Risk,#431,431,Fix risk score source-of-truth consistency,Fix risk score source-of-truth consistency,arie-backend/decision_model.py; arie-backend/memo_handler.py; arie-backend/pdf_generator.py; arie-backend/security_hardening.py; arie-backend/server.py; arie-backend/tests/test_decision_model.py; arie-backend/tests/test_memo_staleness_hard_gate.py; arie-backend/tests/test_phase3_memo_integrity.py; ... +2 more,6197e0cae6698684ceba7d1d1ed3ae6301bc284e,,## Validation Local focused validation on final commit: - `pytest arie-backend/tests/test_phase3_memo_integrity.py arie-backend/tests/test_memo_staleness_hard_gate.py arie-backend/tests/test_risk_display_integrity.py arie-backend/tests/test_approval_gate.py arie-backend/tests/test_decision_model.py arie-backend/tests/test_version_endpoint.py -q` -> 120 passed - `python3 -m py_compile arie-backend/server.py arie-backend/memo_handler.py arie-backend/pdf_generator.py arie-backend/decision_model.py arie-backend/security_hardening.py` -> passed - `git diff --check` -> passed GitHub checks on `3815772a45fc7fe1b26846c84ae7c58c09bf2662`: - `lint-and-test` -> success - `docker-validate` -> success - `pdf-tests` -> success,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Monitoring,#433,433,Fix Monitoring Alerts data truth,Fix Monitoring Alerts data truth,arie-backend/server.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backoffice.html,976d54cb0d30484f8e0dc6a2cc8b39fa7cad8879,,## Tests run - `python3 -m pytest arie-backend/tests/test_monitoring_alerts_sprint1_static.py arie-backend/tests/test_backoffice_monitoring_navigation_static.py arie-backend/tests/test_backoffice_dashboard_runtime.py arie-backend/tests/test_backoffice_login_resilience_runtime.py -q` - 17 passed - `node` inline-script parse check for `arie-backoffice.html` - parsed 2 inline scripts - `python3 -m py_compile arie-backend/server.py` - passed - Attempted `python3 -m pytest arie-backend/tests/test_dashboard_metrics_truth.py -q`; blocked locally by existing Python 3.10 union type syntax in `screening_config.py` under Python 3.9 before this change was reached.,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Monitoring,#434,434,Hide UUID v7 monitoring client IDs,Hide UUID v7 monitoring client IDs,arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backoffice.html,72799f7f0c4febd58a4bbb60b597d11f7ae0a5a5,,## Tests run - `python3 -m pytest arie-backend/tests/test_monitoring_alerts_sprint1_static.py -q` - 6 passed - `node` inline-script parse check for `arie-backoffice.html` - parsed 2 inline scripts - `git diff --check` - passed,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Monitoring,#435,435,Implement Monitoring Alerts Sprint 2 detail workflow,Implement Monitoring Alerts Sprint 2 detail workflow,arie-backend/server.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backend/tests/test_monitoring_alerts_sprint2_api.py; arie-backoffice.html,0656c9cde1b38bba0e78ca4185aab2cc41044165,,## Tests run - /opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_monitoring_routing.py arie-backend/tests/test_backoffice_monitoring_navigation_static.py arie-backend/tests/test_monitoring_alerts_sprint1_static.py arie-backend/tests/test_monitoring_alerts_sprint2_api.py -q - 35 passed - /opt/homebrew/bin/python3.11 -m py_compile arie-backend/server.py arie-backend/tests/test_monitoring_alerts_sprint2_api.py - JS parse check for arie-backoffice.html inline scripts - Parsed 2 inline scripts - git diff --check,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening / Provider,#436,436,CA-1: Harden ComplyAdvantage webhooks and evidence retrieval,CA-1: Harden ComplyAdvantage webhooks and evidence retrieval,arie-backend/db.py; arie-backend/migrations/scripts/migration_031_ca_webhook_evidence.sql; arie-backend/screening_complyadvantage/evidence.py; arie-backend/screening_complyadvantage/webhook_handler.py; arie-backend/screening_complyadvantage/webhook_storage.py; arie-backend/server.py; arie-backend/tests/test_complyadvantage_webhook_handler.py; arie-backend/tests/test_complyadvantage_webhook_storage.py; ... +3 more,4b078f383d1f33736c0ea3ab4cd3241d46462600,,## Tests run - `pytest -q tests/test_complyadvantage_webhook_fetch.py tests/test_complyadvantage_webhook_storage.py tests/test_complyadvantage_webhook_handler.py tests/test_screening_complyadvantage_normalizer.py tests/test_complyadvantage_historical_backfill.py tests/test_screening_shadow.py tests/test_phase6_complyadvantage_readiness.py tests/test_monitoring_alerts_sprint2_api.py tests/test_monitoring_alerts_sprint1_static.py` — 131 passed - `python3 -m py_compile screening_complyadvantage/webhook_handler.py screening_complyadvantage/webhook_storage.py screening_complyadvantage/evidence.py screening_complyadvantage/webhook_fetch.py server.py db.py` — passed - Back-office inline JS parse via Node — passed,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening / Provider,#437,437,[codex] Backfill CA monitoring evidence,[codex] Backfill CA monitoring evidence,arie-backend/screening_complyadvantage/evidence_backfill.py; arie-backend/scripts/ca_evidence_backfill.py; arie-backend/tests/test_complyadvantage_evidence_backfill.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backoffice.html,e8382a1b8bc363a0aa418dc6a735df3c5fb71140,,## Validation Local checks run: - `/opt/homebrew/bin/python3.11 -m py_compile arie-backend/screening_complyadvantage/evidence_backfill.py arie-backend/scripts/ca_evidence_backfill.py` - `cd arie-backend && /opt/homebrew/bin/python3.11 -m pytest tests/test_complyadvantage_evidence_backfill.py tests/test_monitoring_alerts_sprint1_static.py -q` — 17 passed - `cd arie-backend && /opt/homebrew/bin/python3.11 -m pytest tests/test_complyadvantage_webhook_storage.py tests/test_monitoring_alerts_sprint2_api.py tests/test_complyadvantage_historical_backfill.py -q` — 28 passed - `cd arie-backend && /opt/homebrew/bin/python3.11 -m pytest tests/test_complyadvantage_evidence_backfill.py tests/test_complyadvantage_webhook_storage.py tests/test_monitoring_alerts_sprint2_api.py tests/test_monitoring_alerts_sprint1_static.py -q` — 30 passed,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening / Provider,#438,438,[codex] Fix CA evidence backfill Postgres wildcard,[codex] Fix CA evidence backfill Postgres wildcard,arie-backend/screening_complyadvantage/evidence_backfill.py; arie-backend/tests/test_complyadvantage_evidence_backfill.py,501bde2cf686d7767d900511af5084d6aa66bc0b,,## Validation - `/opt/homebrew/bin/python3.11 -m py_compile arie-backend/screening_complyadvantage/evidence_backfill.py arie-backend/scripts/ca_evidence_backfill.py` - `cd arie-backend && /opt/homebrew/bin/python3.11 -m pytest tests/test_complyadvantage_evidence_backfill.py -q` — 6 passed,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening / Provider,#439,439,[codex] Guard CA evidence backfill identifiers,[codex] Guard CA evidence backfill identifiers,arie-backend/screening_complyadvantage/evidence_backfill.py; arie-backend/tests/test_complyadvantage_evidence_backfill.py,b8680a6119da4ddf106ba51e3c0f053fb513ed39,,## Validation - `/opt/homebrew/bin/python3.11 -m py_compile arie-backend/screening_complyadvantage/evidence_backfill.py arie-backend/scripts/ca_evidence_backfill.py` - `cd arie-backend && /opt/homebrew/bin/python3.11 -m pytest tests/test_complyadvantage_evidence_backfill.py -q` — 7 passed,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
