PR number,GitHub title,GitHub URL,State,Merged at,Merge SHA,Branch,Files changed,Checks status,Report claimed status,Match? yes/no,Notes
393,PR-B: paginate queues and uncouple detail preload,https://github.com/onboarda1234/onboarda/pull/393,MERGED,2026-06-02T11:58:10Z,e3a4bcb1735bbb49fc9f45c33b7a820b8c8ee44b,codex/pr-b-queue-payload-redesign,arie-backend/lifecycle_queue.py; arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backend/tests/test_inline_screening_runtime.py; arie-backend/tests/test_lifecycle_queue_handlers.py; arie-backoffice.html,"fail:1, pass:4",Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
397,Restructure periodic review signals navigation,https://github.com/onboarda1234/onboarda/pull/397,MERGED,2026-06-03T11:43:47Z,ef32f2eccf037a62ce8db3ac22097b63ed987a80,fix/periodic-review-signals-navigation,arie-backend/tests/test_application_lifecycle_tab_shell_static.py; arie-backend/tests/test_backoffice_monitoring_navigation_static.py; arie-backend/tests/test_case_command_centre_runtime.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
400,Align KYC document taxonomy and enhanced evidence rules,https://github.com/onboarda1234/onboarda/pull/400,MERGED,2026-06-04T17:12:03Z,7b735c1dafe1f129b832cdbe961e64ecc9338e6d,fix/kyc-document-enhanced-taxonomy-updates,arie-backend/enhanced_requirements.py; arie-backend/server.py; arie-backend/tests/test_application_enhanced_requirements.py; arie-backend/tests/test_case_command_centre_runtime.py; arie-backend/tests/test_enhanced_requirement_settings.py; arie-backoffice.html; arie-portal.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
401,Merge PRS-1 periodic review queue hardening into main,https://github.com/onboarda1234/onboarda/pull/401,MERGED,2026-06-05T11:37:31Z,420c8d320639eeddbbfd2d709d5fcaf87c026e91,codex/prs1-case-shell-canonicalization,arie-backend/periodic_review_projection_service.py; arie-backend/server.py; arie-backend/tests/test_application_lifecycle_tab_shell_static.py; arie-backend/tests/test_backoffice_monitoring_navigation_static.py; arie-backend/tests/test_periodic_review_phase1_canonical.py; arie-backend/tests/test_periodic_review_phase1_handlers.py; arie-backoffice.html; periodic_review_prs1_case_shell_canonicalization_report.md; periodic_review_prs1_staging_qa_validation_report.md,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
402,Merge PRS-2 portal periodic review attestation into main,https://github.com/onboarda1234/onboarda/pull/402,MERGED,2026-06-05T16:26:30Z,05afc999894b9957c3f01720e7cd38f29528c7c7,codex/prs2-periodic-review-attestation,arie-backend/db.py; arie-backend/periodic_review_attestation.py; arie-backend/periodic_review_projection_service.py; arie-backend/server.py; arie-backend/tests/test_periodic_review_attestation.py; arie-backend/tests/test_portal_periodic_review_attestation_static.py; arie-backoffice.html; arie-portal.html; periodic_review_prs2_attestation_report.md,"fail:1, pass:4",Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
403,[codex] Fix periodic review routing and detail tabs,https://github.com/onboarda1234/onboarda/pull/403,MERGED,2026-06-06T11:04:28Z,882350fb1f6d4743c86562bad9fad74ca7c7755d,codex/prs4b-routing-tabs,arie-backend/enhanced_requirements.py; arie-backend/periodic_review_document_requests.py; arie-backend/server.py; arie-backend/tests/test_application_lifecycle_tab_shell_static.py; arie-backend/tests/test_backoffice_periodic_review_workspace_static.py; arie-backend/tests/test_periodic_review_document_requests.py; arie-backend/tests/test_portal_periodic_review_documents_static.py; arie-backoffice.html; arie-portal.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
404,Fix periodic review baseline availability,https://github.com/onboarda1234/onboarda/pull/404,MERGED,2026-06-06T12:11:30Z,98bb23010f76176287e23d53f0b3885b08c070f6,codex/prs4c-baseline-availability,arie-backend/db.py; arie-backend/monitoring_enrollment.py; arie-backend/periodic_review_management.py; arie-backend/server.py; arie-backend/tests/test_application_lifecycle_tab_shell_static.py; arie-backend/tests/test_backoffice_periodic_review_baseline_static.py; arie-backend/tests/test_periodic_review_baseline_application_level.py; arie-backoffice.html,"fail:1, pass:4",Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
405,PRS-4D periodic review status cleanup,https://github.com/onboarda1234/onboarda/pull/405,MERGED,2026-06-06T18:15:16Z,ea24823eb8c86578bc2f120643c3ba38c49aadb3,codex/prs4d-periodic-review-status-cleanup,arie-backend/lifecycle_queue.py; arie-backend/periodic_review_projection_service.py; arie-backend/server.py; arie-backend/tests/test_application_lifecycle_tab_shell_static.py; arie-backend/tests/test_backoffice_periodic_review_workspace_static.py; arie-backend/tests/test_lifecycle_queue.py; arie-backend/tests/test_periodic_review_baseline_application_level.py; arie-backend/tests/test_periodic_review_phase1_canonical.py; arie-backend/tests/test_periodic_review_phase1_handlers.py; arie-backend/tests/test_periodic_review_workspace.py; ... +1 more,"fail:1, pass:4",Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
406,[codex] Implement PRS-5 periodic review closure,https://github.com/onboarda1234/onboarda/pull/406,MERGED,2026-06-07T03:24:27Z,e4e8f585866fe868159a6bbf851fb84565e81ab9,codex/prs5-periodic-review-decision-closure,arie-backend/periodic_review_blockers.py; arie-backend/periodic_review_engine.py; arie-backend/periodic_review_management.py; arie-backend/periodic_review_projection_service.py; arie-backend/server.py; arie-backend/tests/test_application_lifecycle_tab_shell_static.py; arie-backend/tests/test_backoffice_periodic_review_workspace_static.py; arie-backend/tests/test_periodic_review_attestation.py; arie-backend/tests/test_periodic_review_handlers.py; arie-backend/tests/test_periodic_review_memo.py; ... +4 more,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
408,Refresh periodic review queue after closure,https://github.com/onboarda1234/onboarda/pull/408,MERGED,2026-06-07T04:49:22Z,c5fe738ffdee044ceac9eecee9d79fa848efe6ec,codex/prs5-refresh-periodic-review-queue,arie-backend/tests/test_backoffice_periodic_review_workspace_static.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
