file_path,handler,route_path,http_method,line,require_auth_explicit_roles,reads_or_writes_object_by_id,object_type,object_id_source,object_authorization_check_present,classification,recommended_follow_up,notes
arie-backend/server.py,ClientChangePasswordHandler,/api/auth/client/change-password,POST,4619,no,no,none,none,no,public/authn-safe,no fix,Self-service password change uses authenticated subject only.
arie-backend/server.py,MeHandler,/api/auth/me,GET,4658,no,no,none,none,no,public/authn-safe,no fix,Returns current token subject only.
arie-backend/server.py,ApplicationsHandler,/api/applications,POST,5093,no,yes,application,body/token,partial,client-owned object access,A1F-3 batch fix,Creates a new application. Client path binds to token subject; non-client path accepts client_id and should use explicit officer roles.
arie-backend/server.py,CaseManagementWorklistHandler,/api/case-management/worklist,GET,6668,no,yes,application; periodic review,query string,manual role check,officer-only but role should be explicit,convert to role-restricted,Manual officer role guard exists after bare auth; convert to require_auth roles/require_backoffice_auth.
arie-backend/server.py,ApplicationDetailHandler,/api/applications/([^/]+),GET,7061,no,yes,application,URL path,yes,safe existing check,no fix,Uses check_app_ownership after resolving application.
arie-backend/server.py,ApplicationDetailHandler,/api/applications/([^/]+),PUT,7352,no,yes,application; director; UBO,URL path/body,yes,safe existing check,no fix,Uses check_app_ownership before updates.
arie-backend/server.py,ApplicationDetailHandler,/api/applications/([^/]+),PATCH,7536,no,yes,application,URL path/body,yes,safe existing check,A1F-3 batch fix,Uses check_app_ownership; status/assignment role checks are manual and could be made explicit.
arie-backend/server.py,ApplicationDetailHandler,/api/applications/([^/]+),DELETE,7922,no,yes,application,URL path,yes,safe existing check,no fix,Uses check_app_ownership and client-only draft delete guard.
arie-backend/server.py,SubmitApplicationHandler,/api/applications/([^/]+)/submit,POST,9005,no,yes,application; director; UBO,URL path,yes,safe existing check,no fix,Uses check_app_ownership before submit.
arie-backend/server.py,PricingAcceptHandler,/api/applications/([^/]+)/accept-pricing,POST,9483,no,yes,application,URL path,yes,safe existing check,no fix,Uses check_app_ownership before pricing acceptance.
arie-backend/server.py,KYCSubmitHandler,/api/applications/([^/]+)/submit-kyc,POST,10037,no,yes,application; document,URL path,yes,safe existing check,no fix,Uses check_app_ownership and document gates.
