PR/workstream,Closure report path,Report verdict,Evidence verdict,Merge SHA,Deployed SHA,Version match evidence,Browser/API validation,CloudWatch/log validation,Limitation,Evidence gap? yes/no,Notes
#410,,Closed PASS,audit-only,61799bc53ef5e4234d0dc5f902aac60ff9d6aaf8,,No direct version evidence,"## Validation - `/opt/homebrew/bin/python3.11 -m pytest tests/test_screening_review.py tests/test_inline_screening_runtime.py -q` -> 18 passed - `/opt/homebrew/bin/python3.11 -m pytest tests/test_api.py -k ""screening_review or screening_queue or screening_escalated or screening_match or no_match or screening_evidence_upload"" -q` -> 13 passed - `/opt/homebrew/bin/python3.11 -m pytest tests/test_approval_gate.py tests/test_backoffice_login_resilience_runtime.py tests/test_case_command_centre_runtime.py tests/test_backoffice_ca_truthflow_static.py tests/test_backoffice_review_audit.py -q` -> 156 passed - `/opt/homebrew/bin/python3.11 -m pytest tests/test_risk_recomputation.py tests/test_memo_staleness_approval.py tests/test_memo_staleness_hard_gate.py -q` -> 53 passed",,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#418,,Closed PASS,audit-only,a733b10a284b39bc6eef1c78ad997ace5790df51,,No direct version evidence,## Validation - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_inline_screening_runtime.py -q` - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_screening_review.py arie-backend/tests/test_inline_screening_runtime.py arie-backend/tests/test_screening_state_priority_a.py arie-backend/tests/test_screening_queue.py -q` - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_backoffice_ca_truthflow_static.py arie-backend/tests/test_backoffice_review_audit.py arie-backend/tests/test_approval_gate.py arie-backend/tests/test_case_command_centre_runtime.py arie-backend/tests/test_backoffice_login_resilience_runtime.py -q` - `git diff --check` - `cd arie-backend && /opt/homebrew/bin/python3.11 -m py_compile server.py screening_state.py db.py security_hardening.py`,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#431,,Closed PASS,audit-only,6197e0cae6698684ceba7d1d1ed3ae6301bc284e,,No direct version evidence,## Validation Local focused validation on final commit: - `pytest arie-backend/tests/test_phase3_memo_integrity.py arie-backend/tests/test_memo_staleness_hard_gate.py arie-backend/tests/test_risk_display_integrity.py arie-backend/tests/test_approval_gate.py arie-backend/tests/test_decision_model.py arie-backend/tests/test_version_endpoint.py -q` -> 120 passed - `python3 -m py_compile arie-backend/server.py arie-backend/memo_handler.py arie-backend/pdf_generator.py arie-backend/decision_model.py arie-backend/security_hardening.py` -> passed - `git diff --check` -> passed GitHub checks on `3815772a45fc7fe1b26846c84ae7c58c09bf2662`: - `lint-and-test` -> success - `docker-validate` -> success - `pdf-tests` -> success,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#433,,Closed,audit-only,976d54cb0d30484f8e0dc6a2cc8b39fa7cad8879,,No direct version evidence,## Tests run - `python3 -m pytest arie-backend/tests/test_monitoring_alerts_sprint1_static.py arie-backend/tests/test_backoffice_monitoring_navigation_static.py arie-backend/tests/test_backoffice_dashboard_runtime.py arie-backend/tests/test_backoffice_login_resilience_runtime.py -q` - 17 passed - `node` inline-script parse check for `arie-backoffice.html` - parsed 2 inline scripts - `python3 -m py_compile arie-backend/server.py` - passed - Attempted `python3 -m pytest arie-backend/tests/test_dashboard_metrics_truth.py -q`; blocked locally by existing Python 3.10 union type syntax in `screening_config.py` under Python 3.9 before this change was reached.,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#434,,,audit-only,72799f7f0c4febd58a4bbb60b597d11f7ae0a5a5,,No direct version evidence,## Tests run - `python3 -m pytest arie-backend/tests/test_monitoring_alerts_sprint1_static.py -q` - 6 passed - `node` inline-script parse check for `arie-backoffice.html` - parsed 2 inline scripts - `git diff --check` - passed,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#435,,,audit-only,0656c9cde1b38bba0e78ca4185aab2cc41044165,,No direct version evidence,## Tests run - /opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_monitoring_routing.py arie-backend/tests/test_backoffice_monitoring_navigation_static.py arie-backend/tests/test_monitoring_alerts_sprint1_static.py arie-backend/tests/test_monitoring_alerts_sprint2_api.py -q - 35 passed - /opt/homebrew/bin/python3.11 -m py_compile arie-backend/server.py arie-backend/tests/test_monitoring_alerts_sprint2_api.py - JS parse check for arie-backoffice.html inline scripts - Parsed 2 inline scripts - git diff --check,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#436,,Closed,audit-only,4b078f383d1f33736c0ea3ab4cd3241d46462600,,No direct version evidence,## Tests run - `pytest -q tests/test_complyadvantage_webhook_fetch.py tests/test_complyadvantage_webhook_storage.py tests/test_complyadvantage_webhook_handler.py tests/test_screening_complyadvantage_normalizer.py tests/test_complyadvantage_historical_backfill.py tests/test_screening_shadow.py tests/test_phase6_complyadvantage_readiness.py tests/test_monitoring_alerts_sprint2_api.py tests/test_monitoring_alerts_sprint1_static.py` — 131 passed - `python3 -m py_compile screening_complyadvantage/webhook_handler.py screening_complyadvantage/webhook_storage.py screening_complyadvantage/evidence.py screening_complyadvantage/webhook_fetch.py server.py db.py` — passed - Back-office inline JS parse via Node — passed,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#437,,,audit-only,e8382a1b8bc363a0aa418dc6a735df3c5fb71140,,No direct version evidence,## Validation Local checks run: - `/opt/homebrew/bin/python3.11 -m py_compile arie-backend/screening_complyadvantage/evidence_backfill.py arie-backend/scripts/ca_evidence_backfill.py` - `cd arie-backend && /opt/homebrew/bin/python3.11 -m pytest tests/test_complyadvantage_evidence_backfill.py tests/test_monitoring_alerts_sprint1_static.py -q` — 17 passed - `cd arie-backend && /opt/homebrew/bin/python3.11 -m pytest tests/test_complyadvantage_webhook_storage.py tests/test_monitoring_alerts_sprint2_api.py tests/test_complyadvantage_historical_backfill.py -q` — 28 passed - `cd arie-backend && /opt/homebrew/bin/python3.11 -m pytest tests/test_complyadvantage_evidence_backfill.py tests/test_complyadvantage_webhook_storage.py tests/test_monitoring_alerts_sprint2_api.py tests/test_monitoring_alerts_sprint1_static.py -q` — 30 passed,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#438,,,audit-only,501bde2cf686d7767d900511af5084d6aa66bc0b,,No direct version evidence,## Validation - `/opt/homebrew/bin/python3.11 -m py_compile arie-backend/screening_complyadvantage/evidence_backfill.py arie-backend/scripts/ca_evidence_backfill.py` - `cd arie-backend && /opt/homebrew/bin/python3.11 -m pytest tests/test_complyadvantage_evidence_backfill.py -q` — 6 passed,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#439,,Closed,audit-only,b8680a6119da4ddf106ba51e3c0f053fb513ed39,,No direct version evidence,## Validation - `/opt/homebrew/bin/python3.11 -m py_compile arie-backend/screening_complyadvantage/evidence_backfill.py arie-backend/scripts/ca_evidence_backfill.py` - `cd arie-backend && /opt/homebrew/bin/python3.11 -m pytest tests/test_complyadvantage_evidence_backfill.py -q` — 7 passed,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#440,,Closed,audit-only,9553639fcb8bb67fed97b0173662f58a9d590c1c,,No direct version evidence,"## Validation Run locally with Python 3.11: - `pytest arie-backend/tests/test_screening_queue_state_integrity.py arie-backend/tests/test_screening_queue.py arie-backend/tests/test_screening_review.py arie-backend/tests/test_screening_state_priority_a.py arie-backend/tests/test_api.py -k ""screening_queue or screening_review or screening or ScreeningQueueSerializer"" -q` — 99 passed - `pytest arie-backend/tests/test_backoffice_ca_truthflow_static.py arie-backend/tests/test_inline_screening_runtime.py -q` — 34 passed - `pytest arie-backend/tests/test_screening*.py arie-backend/tests/test_complyadvantage_*.py -q` — 918 passed, 2 skipped",,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#441,,,audit-only,a1982f8621aa14bb738acc1eb7bd2ffbb2bedae3,,No direct version evidence,"## Tests - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_screening_queue_state_integrity.py arie-backend/tests/test_screening_queue.py arie-backend/tests/test_screening_review.py arie-backend/tests/test_screening_state_priority_a.py arie-backend/tests/test_declared_pep_truthfulness_priority_a2.py arie-backend/tests/test_api.py -k ""screening_queue or screening_review or screening or ScreeningQueueSerializer or declared_pep"" -q` - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_screening*.py arie-backend/tests/test_complyadvantage_*.py arie-backend/tests/test_declared_pep_truthfulness_priority_a2.py -q`",,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#442,,,audit-only,d5e3f6cfb9e2f968df60bcf6d67e7105b189abe0,,No direct version evidence,"## Evidence linking approach - Exact link: risk/match/profile/alert identifiers, with explicit subject mismatch blocking attachment. - Case identifier link: allowed only with no subject conflict and category alignment. - Conservative fallback: same application, same provider, explicit subject match, and category match. - Source/article URLs are never invented; missing URLs display: `Source link not available from provider payload.` ## Tests run - `/opt/homebrew/bin/python3.11 -m py_compile arie-backend/server.py` - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_screening_queue.py arie-backend/tests/test_screening_queue_state_integrity.py arie-backend/tests/test_backoffice_ca_truthflow_static.py -q` -> 50 passed",,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
